epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7322.01,1.03077,0.95734,1.02638,0.7046,0.73837,0.64781,0.40627,1.04823,0.83086,0.97749,0.005842,0.005842,0.005842
44,7431.32,1.02546,0.94443,1.02158,0.72026,0.72746,0.65815,0.40825,1.04485,0.82612,0.98,0.005743,0.005743,0.005743
45,7539.02,1.00766,0.93801,1.01204,0.70874,0.74525,0.65451,0.4152,1.02849,0.81591,0.96974,0.005644,0.005644,0.005644
46,7892.72,1.00997,0.93012,1.01178,0.71559,0.73315,0.65606,0.41661,1.02407,0.81464,0.96859,0.005545,0.005545,0.005545
47,7998.31,0.99629,0.93105,1.0101,0.72487,0.7316,0.65335,0.41383,1.02105,0.81964,0.96643,0.005446,0.005446,0.005446
48,8107.91,0.9823,0.92514,1.00369,0.71159,0.75352,0.65484,0.42436,1.01039,0.80793,0.96277,0.005347,0.005347,0.005347
49,8218.24,0.98636,0.91976,1.0084,0.74803,0.74293,0.66848,0.42845,1.00632,0.80514,0.96216,0.005248,0.005248,0.005248
50,8329.73,0.98264,0.90971,1.00131,0.74611,0.73568,0.66975,0.42992,1.0026,0.80147,0.95853,0.005149,0.005149,0.005149
51,8710.08,0.96602,0.90828,0.99509,0.71614,0.74888,0.66508,0.4286,1.00411,0.80207,0.959,0.00505,0.00505,0.00505
52,8815.73,0.96115,0.909,0.99769,0.71162,0.75019,0.6645,0.4261,0.99518,0.795,0.95353,0.004951,0.004951,0.004951
53,8921.27,0.96282,0.90451,0.99465,0.71033,0.74944,0.65805,0.42777,0.98891,0.79352,0.95307,0.004852,0.004852,0.004852
54,9031.9,0.95284,0.90268,0.99618,0.73056,0.75923,0.67007,0.43811,0.98096,0.78616,0.95331,0.004753,0.004753,0.004753
55,9143.26,0.94442,0.89601,0.98934,0.73447,0.7565,0.67169,0.44174,0.9706,0.77859,0.94641,0.004654,0.004654,0.004654
56,9255.29,0.94339,0.89316,0.98643,0.71285,0.75233,0.67,0.44277,0.96947,0.77833,0.9455,0.004555,0.004555,0.004555
57,9665.59,0.93856,0.88796,0.98473,0.75306,0.76102,0.68241,0.44633,0.9643,0.77625,0.94499,0.004456,0.004456,0.004456
58,9771.02,0.92452,0.88997,0.98061,0.74282,0.75269,0.67042,0.44383,0.95611,0.7726,0.94082,0.004357,0.004357,0.004357
59,9879.31,0.93019,0.88032,0.98113,0.74239,0.75476,0.67453,0.44363,0.95806,0.76852,0.94462,0.004258,0.004258,0.004258
60,9989.78,0.90935,0.87129,0.97652,0.76274,0.76509,0.67977,0.44751,0.95249,0.76482,0.94022,0.004159,0.004159,0.004159
61,10101.1,0.90616,0.87228,0.97589,0.75729,0.75595,0.68109,0.45203,0.95083,0.76149,0.9412,0.00406,0.00406,0.00406
62,10211,0.90307,0.87325,0.97409,0.72854,0.77034,0.68164,0.45224,0.94432,0.75931,0.939,0.003961,0.003961,0.003961
63,10545.4,0.89672,0.86432,0.96902,0.74672,0.76299,0.67658,0.45225,0.93338,0.75537,0.93402,0.003862,0.003862,0.003862
64,10651.4,0.89582,0.8629,0.96981,0.75721,0.75716,0.67669,0.45378,0.92557,0.75419,0.9324,0.003763,0.003763,0.003763
65,10758.3,0.88854,0.86189,0.97113,0.76499,0.76562,0.68574,0.45638,0.92372,0.7509,0.9347,0.003664,0.003664,0.003664
66,10864.5,0.8817,0.84867,0.96318,0.76472,0.76913,0.68799,0.45885,0.91977,0.75175,0.93009,0.003565,0.003565,0.003565
67,10972,0.86954,0.85048,0.96252,0.75894,0.76548,0.68084,0.46196,0.91059,0.74493,0.92693,0.003466,0.003466,0.003466
68,11386.2,0.85613,0.84953,0.95627,0.7637,0.76675,0.68895,0.46046,0.90911,0.74471,0.92496,0.003367,0.003367,0.003367
69,11491.8,0.86064,0.84157,0.95673,0.76996,0.77544,0.69578,0.46295,0.89987,0.7398,0.92337,0.003268,0.003268,0.003268
70,11598.8,0.85426,0.83557,0.95806,0.7581,0.7721,0.68797,0.4658,0.90292,0.73826,0.92356,0.003169,0.003169,0.003169
71,11707.4,0.84556,0.83411,0.95106,0.73825,0.7789,0.68972,0.46717,0.89742,0.73702,0.92088,0.00307,0.00307,0.00307
72,14506.6,0.8384,0.83266,0.9521,0.76134,0.76715,0.69029,0.47418,0.89222,0.73262,0.9202,0.002971,0.002971,0.002971
73,14613,0.84036,0.83231,0.95131,0.76017,0.7676,0.68898,0.47409,0.88815,0.73056,0.91728,0.002872,0.002872,0.002872
74,14720.4,0.83562,0.82866,0.94792,0.75977,0.76599,0.68862,0.47628,0.88543,0.73205,0.91597,0.002773,0.002773,0.002773
75,14828.3,0.82715,0.82932,0.94318,0.76349,0.76715,0.69243,0.47568,0.88005,0.73082,0.91319,0.002674,0.002674,0.002674
76,14934.2,0.81697,0.81916,0.94268,0.73752,0.77403,0.69162,0.47325,0.88006,0.728,0.91449,0.002575,0.002575,0.002575
77,15040,0.81243,0.81058,0.94061,0.73993,0.77465,0.69083,0.47566,0.87605,0.72564,0.91248,0.002476,0.002476,0.002476
78,15148.1,0.80322,0.81115,0.93926,0.75989,0.77712,0.69002,0.47841,0.87073,0.72329,0.91141,0.002377,0.002377,0.002377
